condition,mental illness,difficulty changing,desired change,genes,punishment,control,wrongness,internal distress,common,politics
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,4,3,4,5,6,3,6,5,61,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,1,6,1,1,6,7,7,1,66,3
racist,5,5,5,6,5,5,5,4,50,2
racist,7,7,7,7,7,7,7,7,100,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
racist,4,6,5,2,6,7,3,4,57,5
racist,1,1,1,1,4,7,1,1,12,7
racist,1,5,1,1,4,5,7,1,41,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,1,7,1,7,7,7,7,2,1,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,1,3,3,1,4,6,7,4,33,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,2,3,1,2,7,6,6,7,83,6
racist,4,4,4,1,4,7,7,3,5,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,7,7,1,1,7,7,7,1,20,7
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,2,4,4,5,1,4,6,3,57,1
racist,2,7,3,1,6,6,7,6,24,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,1,4,2,2,4,3,1,3,26,5
racist,5,3,2,1,4,7,7,5,5,7
racist,5,4,5,5,5,4,4,4,23,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,1,3,3,2,7,7,7,3,39,1
racist,5,5,1,1,6,5,7,1,51,2
racist,1,3,6,1,4,6,7,1,30,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,5,7,2,1,7,7,7,2,60,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,1,5,1,1,4,6,7,5,20,7
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,5,5,1,2,7,4,7,2,60,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
racist,1,7,1,1,4,6,6,1,71,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,3,6,2,4,4,6,5,4,51,4
racist,1,7,1,2,4,4,7,1,30,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,2,3,2,1,6,6,6,2,44,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,3,3,2,2,6,6,7,2,29,3
racist,1,4,4,1,4,5,7,7,51,3
racist,1,2,1,1,7,7,7,1,72,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,3,5,4,2,4,5,6,5,72,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,6,4,4,1,6,7,7,7,82,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,1,5,5,1,6,3,7,5,30,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,1,6,3,1,6,7,7,5,30,6
racist,1,1,1,1,6,7,7,1,25,1
racist,2,4,3,1,7,7,7,5,50,6
racist,4,1,1,3,4,7,7,7,80,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,1,3,4,1,5,7,7,2,40,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,1,7,1,1,4,7,7,1,40,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,4,5,1,1,6,7,7,1,40,2
racist,7,4,4,4,7,7,7,4,50,5
racist,1,7,1,1,5,4,5,1,80,5
racist,1,6,1,2,7,6,4,4,75,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,5,5,5,5,4,5,4,4,82,6
racist,1,5,2,1,4,6,5,3,10,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,3,4,5,4,6,4,6,5,53,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
racist,4,4,2,4,4,7,4,1,92,4
racist,1,7,1,2,5,6,7,4,10,4
racist,1,5,4,1,7,6,7,4,50,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,1,2,1,1,7,7,7,1,39,7
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,1,3,3,2,5,6,5,2,95,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,2,5,1,2,5,6,5,2,31,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,1,5,1,1,7,7,7,3,20,2
racist,2,7,1,1,4,2,7,2,25,4
racist,4,7,1,1,4,7,7,4,17,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,2,5,4,5,5,6,7,5,60,2
racist,5,5,2,1,6,6,6,3,6,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,7,6,1,1,6,7,7,7,41,1
racist,1,6,1,3,4,5,2,2,95,3
racist,2,5,2,1,6,6,7,2,34,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,1,4,2,1,5,7,7,2,60,4
racist,4,3,2,2,6,7,7,2,40,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,1,6,1,1,7,6,7,1,43,1
racist,4,7,3,1,4,7,6,4,19,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,1,5,4,4,6,6,7,2,25,2
racist,1,7,1,1,7,7,7,1,42,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,4,4,1,4,7,6,7,1,62,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,4,7,3,1,4,4,7,3,40,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,6,7,3,6,6,6,7,7,84,7
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,7,3,3,4,5,4,3,3,41,4
racist,1,5,2,1,7,5,7,3,65,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,4,5,4,3,5,4,4,5,75,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,2,5,2,1,4,7,7,3,39,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,5,2,2,1,6,7,6,2,46,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,7,4,1,1,7,7,7,7,50,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,4,7,1,1,4,7,7,2,67,3
racist,1,6,1,1,7,4,7,1,72,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,1,7,1,1,7,7,7,1,50,1
racist,3,5,3,4,4,5,6,3,65,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,2,4,4,1,6,7,7,2,30,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,2,1,1,1,4,7,5,1,35,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,3,6,4,3,4,5,7,2,30,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,4,5,3,2,5,6,6,5,18,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,4,6,3,2,5,5,7,3,70,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
racist,1,4,2,1,5,6,7,4,25,2
racist,1,4,2,1,7,7,7,2,34,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,3,4,3,2,5,6,6,4,30,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,1,3,4,1,5,6,7,4,35,4
racist,4,6,3,1,4,7,7,3,14,5
racist,1,5,3,1,6,7,7,2,30,4
racist,5,5,4,6,5,6,7,5,50,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,5,5,4,5,5,5,7,4,55,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,1,7,1,3,7,7,7,2,40,1
racist,5,3,3,2,5,5,5,3,10,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,2,4,2,1,5,6,7,1,30,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,5,2,4,6,5,3,5,3,64,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,5,7,2,1,7,5,7,6,50,6
racist,4,3,3,4,5,3,4,6,22,2
racist,1,6,2,2,4,6,6,2,9,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,5,4,4,4,3,3,4,2,32,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,3,4,2,1,4,5,7,2,34,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
racist,1,5,3,1,4,7,3,3,30,7
racist,1,6,2,5,4,3,1,1,96,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,4,4,3,2,6,5,7,7,20,4
racist,3,6,4,1,6,6,7,7,25,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,3,6,2,1,5,2,6,2,71,2
racist,2,3,3,2,4,6,6,2,55,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,4,4,1,2,6,5,7,2,50,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,1,2,2,1,4,7,7,4,61,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,2,4,2,5,6,2,6,4,27,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,3,5,1,1,7,7,7,1,61,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,1,4,5,1,6,5,3,5,30,5
racist,1,5,6,4,4,7,7,2,50,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,1,3,3,1,7,7,7,4,40,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,1,6,4,5,7,7,7,4,53,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,2,4,6,2,5,6,6,5,51,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,1,5,4,1,5,5,7,1,25,4
racist,2,6,3,1,6,4,7,1,45,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,2,6,5,2,4,5,7,4,43,2
racist,1,3,5,4,6,5,7,5,20,7
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,1,2,1,1,5,7,7,3,34,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,5,6,2,4,6,7,7,1,10,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,3,7,2,1,5,5,7,3,44,2
racist,1,6,3,2,4,5,7,3,40,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,5,6,2,1,4,1,7,1,40,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,1,4,2,1,4,7,7,2,20,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,2,5,2,2,6,6,7,5,66,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,5,5,5,6,6,5,5,6,48,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,1,1,1,1,7,7,7,7,50,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,5,5,3,5,5,5,6,6,55,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,1,5,3,2,4,4,6,6,30,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,1,5,1,1,6,6,7,1,60,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,1,4,1,1,6,7,7,1,46,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,5,3,4,1,5,6,7,5,25,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,1,4,2,1,5,7,7,1,33,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,5,6,5,5,4,7,7,5,13,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,5,5,3,6,6,6,6,6,50,6
racist,1,5,1,1,4,7,7,4,40,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,2,6,2,2,4,7,6,2,80,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,2,5,4,1,4,6,7,4,9,6
racist,2,1,1,1,7,7,7,1,75,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,3,6,1,5,4,6,7,1,10,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,1,3,2,1,4,7,7,2,30,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,1,4,4,1,4,7,6,1,5,7
racist,1,4,6,1,4,7,7,5,33,4
racist,1,5,1,1,7,7,7,1,7,2
racist,1,3,1,1,7,7,7,1,11,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,1,4,2,1,4,7,7,2,65,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,5,6,2,1,7,6,7,5,20,4
racist,2,4,4,5,6,4,7,7,10,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,1,4,3,1,5,5,7,1,10,6
racist,4,5,4,3,4,5,3,4,52,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,7,7,4,1,7,7,7,7,45,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,1,2,4,1,7,7,7,1,35,2
racist,4,5,4,2,4,3,5,4,20,4
racist,1,5,2,1,4,7,7,2,8,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,1,5,2,1,4,6,7,2,30,4
racist,2,4,7,1,7,7,7,6,30,5
racist,1,6,1,1,5,5,7,3,26,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
racist,1,4,3,1,7,7,7,1,90,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,1,7,1,1,4,1,7,1,70,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,1,5,3,1,7,6,7,1,38,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,1,6,5,1,5,7,7,5,40,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,2,7,4,1,4,5,7,5,66,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
racist,1,4,4,1,4,3,4,5,20,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,1,3,4,1,5,4,2,3,96,7
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,1,4,4,5,5,7,7,5,50,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,1,5,3,1,6,6,6,2,14,5
racist,2,6,2,1,4,6,7,3,20,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,1,2,2,1,5,7,7,2,25,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,5,6,3,1,6,2,7,2,62,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,1,4,1,1,4,7,7,1,50,4
racist,2,4,2,2,5,5,5,2,30,5
racist,2,3,1,1,7,7,7,4,3,3
racist,1,4,1,1,4,7,5,1,40,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,2,6,3,1,6,6,7,2,46,1
racist,4,5,5,4,5,6,6,4,34,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,1,2,6,1,4,7,7,1,41,6
racist,1,3,3,1,4,5,3,2,39,6
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,4,5,1,1,6,6,7,3,43,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,4,2,4,4,4,3,7,7,25,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,1,4,1,1,5,7,7,1,25,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
racist,1,5,2,1,4,6,7,2,40,3
racist,2,4,4,1,4,5,7,4,49,2
racist,1,4,1,1,6,7,7,1,31,2
racist,3,5,4,2,5,5,7,3,30,2
racist,4,6,6,5,5,6,6,6,84,3
racist,3,5,2,3,4,6,7,5,7,5
racist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
